metric,scope,candidate,n,n_params,r2,rmse,cv_r2,cv_rmse,aic,bic,param,param_lo,param_hi,a,b
comet,k=6,softmin,7714,3,0.823221140375525,0.06438164626752449,0.8198807098046004,0.06498708049958447,-42311.87285509147,-42291.020478675164,0.37136396537128663,0.33097848252622697,0.4413669000336179,-0.16248989380137327,1.1002089302425047
cometkiwi,k=2,mean,2846,2,0.8786820304421772,0.05651252891298158,0.8785141422895714,0.05655161835669735,-16350.783270703196,-16338.875931145896,,,,-0.08825622328965756,1.0805365034157393
cometkiwi,k=2,min,2846,2,0.8533538495236295,0.06213231125563798,0.852846327784628,0.062239733995379944,-15811.160044187252,-15799.252704629953,,,,0.09806998266939654,0.90238501273757
cometkiwi,k=2,max,2846,2,0.5600023529257503,0.10762355976646469,0.5593037207865645,0.10770896869468129,-12684.12655463606,-12672.21921507876,,,,0.013821575200523468,0.8226665293388677
cometkiwi,k=2,median,2846,2,0.8786820304421772,0.05651252891298158,0.8785141422895714,0.05655161835669735,-16350.783270703196,-16338.875931145896,,,,-0.08825622328965756,1.0805365034157393
cometkiwi,k=2,power_mean,2846,3,0.9107758912194094,0.04846444961139992,0.9093077170681585,0.04886156160169427,-17223.255662860836,-17205.394653524887,-1.1839306879962979,-1.6839306879962983,-0.6839306879962983,-0.0429971740371182,1.042234117458127
cometkiwi,k=2,softmin,2846,3,0.9114264393669226,0.04828744510749247,0.9103940801973655,0.048568034323588985,-17244.082350817698,-17226.22134148175,0.2537745125217717,0.21352464190919643,0.31948318267933545,-0.04855451703489627,1.051979464411559
cometkiwi,k=3,mean,4063,2,0.8502699987344636,0.06067619397951514,0.8498050169506723,0.06077033494899344,-22766.70847929095,-22754.089125498977,,,,-0.14047814243593085,1.1271378498716778
cometkiwi,k=3,min,4063,2,0.8059684222228956,0.06907169674109788,0.8049873914703486,0.06924609109523211,-21713.63073429311,-21701.011380501135,,,,0.12606643997357517,0.8798335278537017
cometkiwi,k=3,max,4063,2,0.3993057913374346,0.12153199844695503,0.39822805194613986,0.12164097329906093,-17122.176302210093,-17109.556948418118,,,,-0.009223813698211,0.7944572867857026
cometkiwi,k=3,median,4063,2,0.6987358102396204,0.08606719967651477,0.6979250518139825,0.08618293335010757,-19926.046159079582,-19913.426805287607,,,,0.052376905247296525,0.8274693080313696
cometkiwi,k=3,power_mean,4063,3,0.899645457237304,0.04967437770825967,0.8988889681613317,0.049861253016557,-24390.41366133134,-24371.484630643376,-1.5229049408129594,-1.8754049408129583,-1.1229049408129592,-0.06640724846676724,1.0628781798862887
cometkiwi,k=3,softmin,4063,3,0.9009728971606548,0.04934475007476637,0.8994470826781215,0.04972345006492055,-24444.515613230433,-24425.58658254247,0.22066580364065275,0.19666860450876864,0.24759110391818576,-0.07663397420294937,1.0804768674238938
cometkiwi,k=4,mean,5280,2,0.8318728022714921,0.06259979012632377,0.8310194004577607,0.06275846508821285,-29257.689812921355,-29244.546450167956,,,,-0.16268920044390106,1.1384659437110312
cometkiwi,k=4,min,5280,2,0.7441572136753638,0.0772218991315456,0.7417678254034877,0.07758165970515779,-27040.922375718994,-27027.779012965595,,,,0.1474847914620177,0.8521453336134118
cometkiwi,k=4,max,5280,2,0.3424003641961697,0.12380399868847296,0.3419016857598405,0.12385093202071178,-22056.42734370964,-22043.283980956243,,,,-0.04704191662348529,0.8122581015872758
cometkiwi,k=4,median,5280,2,0.7521568213290956,0.07600503707525,0.7514090603999002,0.07611960709130094,-27208.65180746952,-27195.50844471612,,,,-0.02651166890026621,0.9240433498245879
cometkiwi,k=4,power_mean,5280,3,0.8806394091686999,0.05274537324813772,0.8792439613898205,0.05305280108917614,-31064.468578074477,-31044.753533944375,-1.4540198022456534,-1.8065198022456523,-1.0540198022456533,-0.08397869314838666,1.0709245850455271
cometkiwi,k=4,softmin,5280,3,0.8812864961694543,0.05260220526798268,0.8786087400289256,0.05319215672765951,-31093.170800232398,-31073.455756102296,0.22917092755892765,0.2042488041798749,0.2571340099106152,-0.09558199888309256,1.090611594874912
cometkiwi,k=6,mean,7714,2,0.7219832078826776,0.07623375669281052,0.7210788645858269,0.07635764401896529,-39706.91468835004,-39693.01310407251,,,,-0.14545340568565446,1.0549483714140195
cometkiwi,k=6,min,7714,2,0.5598292147219911,0.09592292536412182,0.5571041282903559,0.09621939544019144,-36162.476057440035,-36148.5744731625,,,,0.19198119137898292,0.7406558049071599
cometkiwi,k=6,max,7714,2,0.23192749965963178,0.12671059078790753,0.23150434330000613,0.12674549049418557,-31867.927716156464,-31854.026131878927,,,,-0.06174676783435775,0.7661122823867752
cometkiwi,k=6,median,7714,2,0.6481228670459973,0.08576445459190522,0.647339813223515,0.08585983001761674,-37889.49208120824,-37875.59049693071,,,,0.013061447609979092,0.8074734685526649
cometkiwi,k=6,power_mean,7714,3,0.7615523348469322,0.070600592350372,0.7585833328342216,0.07103876992263856,-40889.257930848114,-40868.40555443181,-1.3020806200590889,-1.6545806200590873,-1.002080620059088,-0.06989389336844085,0.9902194958122512
cometkiwi,k=6,softmin,7714,3,0.7612815727775705,0.07064066516658216,0.7588119403162004,0.07100512717355158,-40880.50349979945,-40859.65112338315,0.24943152016498646,0.20987046923999514,0.2798667687097071,-0.08230248617015523,1.010359478837061
